Rank;Imdb;Metascore;Filme;Votos;Ano
521;6.6;50; Príncipe da Pérsia: As Areias do Tempo;287,218;2010
522;6.1;57; Branca de Neve e o Caçador;287,021;2012
523;7.2;63; Cruzada;284,964;2005
524;7.5;; 13 Reasons Why;284,516;2017–2020
525;7.5;60; O Grande Herói;283,896;2013
526;6.5;46; Velozes & Furiosos 4;283,747;2009
527;5.5;39; Lanterna Verde;282,818;2011
528;7.1;67; Ressaca de Amor;282,742;2008
529;7.1;77; 8 Mile: Rua das Ilusões;282,207;2002
530;6.4;46; Truque de Mestre: O 2º Ato;282,161;2016
531;6.1;72; Superman: O Retorno;281,877;2006
532;4.7;44; A Saga Crepúsculo: Lua Nova;281,838;2009
533;7.6;66; Moulin Rouge: Amor em Vermelho;281,837;2001
534;6.9;52; O Amor Não Tira Férias;281,595;2006
535;7.4;93; Lady Bird: A Hora de Voar;281,160;2017
536;5.8;39; Fúria de Titãs;281,043;2010
537;8.1;; Sempre ao Seu Lado;279,497;2009
538;7.2;67; Kung Fu Panda 2;279,027;2011
539;7.4;69; O Predestinado;278,625;I 2014
540;6.9;81; Heróis de Ressaca;278,107;2013
541;6.8;81; Nós;278,026;II 2019
542;6.8;65; O Quarto do Pânico;277,226;2002
543;6.4;65; Alien: Covenant;276,318;2017
544;6.5;35; 60 Segundos;276,217;2000
545;7.8;96; Manchester à Beira-Mar;275,814;2016
546;6.5;52; Animais Fantásticos: Os Crimes de Grindelwald;275,231;2018
547;6.8;60; A Era do Gelo 2;274,964;2006
548;6.3;38; O Exterminador do Futuro: Gênesis;274,871;2015
549;7.4;77; Mogli - O Menino Lobo;274,393;2016
550;7.5;48; O Rei do Show;274,210;2017
551;7.8;85; Desejo e Reparação;273,894;2007
552;6.5;41; Invasão a Casa Branca;273,560;2013
553;6.9;78; Extermínio 2;273,531;2007
554;7.9;90; Quase Famosos;273,214;2000
555;8.6;; Mindhunter;272,642;2017–2019
556;7.5;67; Animais Noturnos;272,391;2016
557;6.8;57; Hannibal;271,838;2001
558;7.2;63; O Patriota;271,772;2000
559;7.1;60; Dredd: O Juiz do Apocalipse;271,434;2012
560;5.9;38; +Velozes +Furiosos;271,047;2003
561;7.4;91; Joias Brutas;270,624;2019
562;6.8;64; 1408;270,575;2007
563;7.2;60; Dragão Vermelho;270,377;2002
564;7.6;66; Stardust: O Mistério da Estrela;270,200;2007
565;6.6;51; John Carter: Entre Dois Mundos;270,034;2012
566;7.6;72; Medo da Verdade;270,019;2007
567;6.5;41; Kick-Ass 2;269,879;2013
568;7.3;77; Procurando Dory;269,594;2016
569;7.0;78; Hellboy II: O Exército Dourado;269,132;2008
570;7.6;82; Creed: Nascido para Lutar;268,769;II 2015
571;6.3;41; Entrando numa Fria Maior Ainda;268,574;2004
572;6.0;45; Velozes & Furiosos: Desafio em Tóquio;267,501;2006
573;7.1;71; O Homem nas Trevas;267,467;2016
574;7.0;42; Anjos da Noite;267,221;2003
575;6.6;33; Resident Evil: O Hóspede Maldito;267,103;2002
576;7.3;83; A Noiva Cadáver;266,963;2005
577;6.6;53; Robin Hood;266,867;2010
578;7.4;74; Sully: O Herói do Rio Hudson;266,835;2016
579;7.9;94; O Tigre e o Dragão;266,826;2000
580;7.1;56; Por um Fio;266,467;2002
581;5.6;54; Hulk;265,692;2003
582;6.2;55; Sombras da Noite;264,954;2012
583;7.3;68; O Lugar Onde Tudo Termina;264,898;2012
584;7.7;72; Estrada para Perdição;264,770;2002
585;6.6;64; Os Outros Caras;264,683;2010
586;8.4;; Sex Education;264,344;2019– 
587;5.6;45; Quarteto Fantástico e o Surfista Prateado;263,545;2007
588;6.9;45; Vanilla Sky;263,167;2001
589;6.9;56; Sem Escalas;262,738;2014
590;6.0;35; Van Helsing - O Caçador de Monstros;262,677;2004
591;7.3;65; Invocação do Mal 2;262,635;2016
592;6.5;61; Zoolander;262,551;2001
593;7.0;64; Um Duende em Nova York;262,008;2003
594;7.3;53; Alita: Anjo de Combate;261,172;2019
595;9.0;; Firefly;261,099;2002–2003
596;7.8;93; Me Chame pelo Seu Nome;261,080;2017
597;6.7;32; Warcraft: O Primeiro Encontro de Dois Mundos;260,886;2016
598;6.8;56; Desconhecido;260,362;I 2011
599;7.2;75; Rango;260,147;2011
600;7.6;53; Círculo de Fogo;259,489;2001
601;6.9;53; Aladdin;259,284;2019
602;8.1;90; Antes do Pôr-do-Sol;258,830;2004
603;6.6;44; A Vila;258,767;2004
604;7.3;86; Lincoln;258,750;2012
605;7.1;; Dois Homens e Meio;258,640;2003–2015
606;7.5;52; Profissão de Risco;257,993;2001
607;5.4;60; Mulher-Maravilha 1984;257,637;2020
608;6.7;47; Esquadrão Classe A;257,525;2010
609;7.5;83; Infiltrado na Klan;257,515;2018
610;6.2;48; Todo Mundo em Pânico;256,345;2000
611;7.0;60; Os Agentes do Destino;255,855;2011
612;8.5;; Community;255,462;2009–2015
613;7.3;63; Megamente;255,021;2010
614;7.1;66; Sete Psicopatas e um Shih Tzu;254,821;2012
615;8.4;79; Your Name.;254,203;2016
616;7.1;70; Vicky Cristina Barcelona;253,917;2008
617;5.8;68; Noé;253,695;2014
618;7.8;63; A Troca;253,552;2008
619;6.4;43; American Pie: A Segunda Vez é Ainda Melhor;253,469;2001
620;6.2;43; O Vingador do Futuro;252,906;I 2012
621;7.3;59; Madrugada dos Mortos;252,836;2004
622;8.4;; Scrubs;252,318;2001–2010
623;7.4;82; Planeta dos Macacos: A Guerra;251,801;2017
624;6.5;58; It - Capítulo 2;251,628;2019
625;6.8;64; A Perseguição;251,375;2011
626;6.5;52; Assassinato no Expresso do Oriente;250,970;2017
627;6.9;57; Paul: O Alien Fugitivo;250,565;2011
628;7.0;47; Hotel Transilvânia;250,406;2012
629;8.6;; Parks & Recreation: Confusões de Leslie;250,245;2009–2015
630;6.7;36; Premonição;250,244;2000
631;7.0;69; Poder Sem Limites;250,216;2012
632;7.1;82; O Lagosta;250,018;2015
633;7.3;53; Rock'n'Rolla: A Grande Roubada;249,756;2008
634;8.5;; Hannibal;249,654;2013–2015
635;6.6;40; Jogos Mortais 2;249,449;2005
636;6.9;83; A Bruxa;248,920;2015
637;5.9;30; Gente Grande;248,919;I 2010
638;6.8;48; Quebrando a Banca;248,602;2008
639;6.8;41; Chappie;248,597;2015
640;7.8;72; Johnny & June;248,540;2005
641;7.2;64; Sunshine - Alerta Solar;248,211;2007
642;7.1;51; Um Senhor Estagiário;248,121;I 2015
643;6.6;38; Os Bad Boys II;247,958;2003
644;6.9;57; Adrenalina;247,817;2006
645;7.5;56; Perfume: A História de um Assassino;247,771;2006
646;5.8;41; Battleship: A Batalha dos Mares;246,846;2012
647;5.5;52; A Saga Crepúsculo: Amanhecer - Parte 2;246,506;2012
648;6.7;55; Com a Bola Toda;246,327;2004
649;6.3;43; Maze Runner: Prova de Fogo;245,447;2015
650;6.8;53; A Entidade;245,419;I 2012
651;7.4;51; Como Eu Era Antes de Você;245,336;2016
652;7.7;73; Terra Selvagem;245,280;2017
653;7.6;68; Marcados Para Morrer;245,114;2012
654;7.3;64; Identidade;244,493;2003
655;7.6;; Os 100;244,285;2014–2020
656;4.1;;  Game of Thrones;244,183;2011–2019
657;7.4;42; Antes de Partir;243,934;2007
658;7.0;68; Star Trek: Sem Fronteiras;243,882;2016
659;5.0;58; A Saga Crepúsculo: Eclipse;243,615;2010
660;6.6;56; Golpe Duplo;243,554;II 2015
661;7.0;75; A Espiã Que Sabia de Menos;242,987;2015
662;7.6;58; O Leitor;242,664;2008
663;7.9;; True Blood;242,434;2008–2014
664;8.3;95; A Separação;242,234;2011
665;7.1;56; Operação Valquíria;242,178;2008
666;6.9;50; A Era do Gelo 3;242,074;2009
667;6.0;33; Sucker Punch: Mundo Surreal;241,801;2011
668;8.0;; Lista Negra;241,325;2013– 
669;6.7;66; O Diário de Bridget Jones;241,309;2001
670;6.2;46; O Grinch;241,303;2000
671;7.7;84; Toy Story 4;241,301;2019
672;6.7;58; Jumanji: Próxima Fase;241,201;2019
673;6.4;33; Esposa de Mentirinha;241,144;2011
674;6.0;37; O Turista;241,018;I 2010
675;7.3;84; Os Descendentes;240,917;2011
676;7.6;82; Senhores do Crime;240,891;2007
677;6.7;49; Rota de Fuga;240,794;2013
678;7.2;58; Os Infratores;240,655;2012
679;7.9;89; O Artista;240,229;I 2011
680;6.4;51; Mamma Mia! O Filme;239,999;2008
681;6.8;55; O Rei Leão;239,408;2019
682;7.6;; Heróis;239,116;II 2006–2010
683;6.5;66; Como Não Perder Essa Mulher;238,570;2013
684;6.6;51; Ender's Game: O Jogo do Exterminador;238,520;2013
685;4.9;45; A Saga Crepúsculo: Amanhecer - Parte 1;238,385;2011
686;8.5;; Spartacus;238,208;2010–2013
687;8.1;83; Amores Brutos;238,061;2000
688;7.2;51; Fonte da Vida;237,742;2006
689;8.4;; Fronteiras;237,731;2008–2013
690;7.1;49; Eclipse Mortal;237,662;2000
691;6.6;43; Vidro;237,084;2019
692;5.2;35; Motoqueiro Fantasma;237,034;2007
693;7.4;81; Marcas da Violência;237,016;2005
694;6.6;43; A Praia;237,012;I 2000
695;6.1;36; Eu Sou o Número Quatro;236,906;2011
696;7.2;64; A Estrada;236,816;I 2009
697;6.3;68; Atividade Paranormal;236,176;2007
698;7.3;63; O Poder e a Lei;235,993;2011
699;6.6;49; Eu, Eu Mesmo e Irene;235,846;2000
700;6.8;83; Corrente do Mal;235,242;2014
701;7.7;70; 21 Gramas;235,193;2003
702;6.2;42; A Série Divergente: Insurgente;234,678;2015
703;6.5;48; A Lenda do Tesouro Perdido: Livro dos Segredos;234,566;2007
704;7.3;57; Nocaute;234,152;2015
705;6.8;62; Paranóia;234,146;2007
706;6.0;43; Terremoto: A Falha de San Andreas;233,688;2015
707;6.4;45; Como Perder um Homem em 10 Dias;233,639;2003
708;8.0;69; Lion: Uma Jornada para Casa;233,373;2016
709;8.7;; Mad Men: Inventando Verdades;233,289;2007–2015
710;6.4;37; O Cavaleiro Solitário;233,255;2013
711;6.2;41; Presságio;233,033;2009
712;8.6;; Shameless;232,116;2011–2021
713;6.9;66; A Noite do Jogo;230,990;I 2018
714;7.8;63; Sr. Ninguém;230,988;2009
715;6.4;56; Minions;230,925;2015
716;6.0;60; Aves de Rapina: Arlequina e sua Emancipação Fantabulosa;230,621;2020
717;7.2;47; A Paixão de Cristo;230,464;2004
718;6.8;60; Meu Namorado é um Zumbi;230,140;2013
719;6.8;61; Faça o Que eu Digo, Não Faça o Que eu Faço;230,005;2008
720;8.6;; A Maldição da Residência Hill;229,861;2018
721;7.0;46; Rambo IV;229,777;2008
722;7.3;68; As Aventuras de Tintim;229,335;2011
723;6.5;80; Ad Astra: Rumo às Estrelas;228,992;2019
724;7.3;72; El Camino: Um Filme de Breaking Bad;228,558;2019
725;7.0;54; Dias Incríveis;228,418;2003
726;7.2;81; Chicago;228,407;2002
727;7.7;; Você;228,380;2018– 
728;6.6;56; Velozes & Furiosos 8;228,235;2017
729;6.2;50; Sexo Sem Compromisso;228,148;I 2011
730;6.9;60; Caça-Fantasmas;228,007;2016
731;6.9;66; Tá Chovendo Hambúrguer;227,972;2009
732;6.2;42; Transcendence: A Revolução;227,874;I 2014
733;7.6;67; Mais Estranho que a Ficção;227,625;2006
734;7.0;57; Rede de Mentiras;227,481;2008
735;6.9;47; Dupla Explosiva;227,200;2017
736;7.8;; Gotham;227,165;2014–2019
737;6.5;31; Terror em Silent Hill;227,134;2006
738;7.6;88; A Qualquer Custo;226,835;II 2016
739;6.6;54; Vida;226,516;I 2017
740;7.9;83; O Fantástico Sr. Raposo;226,502;2009
741;6.6;38; A Batalha de Riddick;226,355;2004
742;6.2;52; RoboCop;226,108;2014
743;7.5;72; Beijos e Tiros;225,633;2005
744;7.5;74; Munique;225,211;2005
745;6.6;58; Jason Bourne;224,785;I 2016
746;6.9;63; Rio;224,333;2011
747;7.8;74; Estrelas Além do Tempo;224,313;2016
748;6.4;51; Predadores;224,040;2010
749;6.6;61; Madagascar 2: A Grande Escapada;223,962;2008
750;8.5;; O Justiceiro;223,375;2017–2019
751;6.7;47; Show de Vizinha;222,892;2004
752;8.0;59; O Grande Mestre;222,154;2008
753;7.1;67; Tudo pelo Poder;221,958;2011
754;6.7;52; Protegendo o Inimigo;221,523;2012
755;7.7;80; Coraline e o Mundo Secreto;221,318;2009
756;7.7;; Era Uma Vez;221,308;2011–2018
757;7.5;73; O Impossível;220,994;2012
758;5.7;41; Uma Noite de Crime;220,668;I 2013
759;7.5;71; Obrigado por Fumar;220,531;2005
760;7.2;71; Abismo do Medo;220,148;2005
761;6.3;52; O Ataque;219,908;2013
762;8.6;; Doctor Who;219,759;2005– 
763;7.1;72; O Homem Invisível;219,622;I 2020
764;6.0;50; Cowboys & Aliens;219,461;2011
765;6.6;75; Mãe!;219,355;2017
766;7.4;81; Mestre dos Mares: O Lado Mais Distante do Mundo;218,879;2003
767;5.7;50; O Planeta dos Macacos;218,844;2001
768;8.4;; O Conto da Aia;218,690;2017– 
769;5.3;42; Demolidor - O Homem sem Medo;218,682;2003
770;6.8;86; O Babadook;218,674;2014
771;8.8;; It's Always Sunny in Philadelphia;218,559;2005– 
772;6.1;56; 007 - Um Novo Dia Para Morrer;218,092;2002
773;7.7;; New Girl;217,961;2011–2018
774;6.4;28; A Verdade Nua e Crua;217,304;2009
775;7.6;72; Ponto Final: Match Point;216,606;2005
776;7.2;65; Closer: Perto Demais;216,573;I 2004
777;6.6;48; A Hora do Rush 2;216,497;2001
778;6.5;54; Agente 86;216,322;2008
779;6.9;64; Napoleon Dynamite;216,106;2004
780;7.8;76; Os Homens que Não Amavam as Mulheres;216,007;2009
781;7.1;64; Evereste;215,678;2015
782;6.7;52; Blade II: O Caçador de Vampiros;215,677;2002
783;7.4;67; Hora de Voltar;215,676;2004
784;6.4;45; Sem Dor, Sem Ganho;215,360;2013
785;7.8;72; Capitão Fantástico;215,278;2016
786;7.9;82; Deixa Ela Entrar;215,238;2008
787;7.1;63; Rocky Balboa;214,713;2006
788;7.5;; Agentes da S.H.I.E.L.D. da Marvel;214,575;2013–2020
789;7.7;55; O Menino do Pijama Listrado;214,458;2008
790;6.7;40; Caça aos Gângsteres;214,395;2013
791;6.2;52; Tratamento de Choque;214,375;2003
792;6.3;61; Oito Mulheres e um Segredo;214,172;2018
793;6.7;41; Rei Arthur: A Lenda da Espada;213,838;2017
794;7.0;42; A Órfã;213,744;2009
795;7.5;;  Game of Thrones;213,742;2011–2019
796;7.3;68; Chef;213,190;2014
797;8.0;; The Umbrella Academy;213,132;2019–2022
798;7.2;71; Um Lugar Silencioso: Parte II;213,045;2020
799;6.7;49; American Pie: O Reencontro;213,007;2012
800;6.3;52; A Vigilante do Amanhã: Ghost in the Shell;212,677;2017
801;7.8;48; Duelo de Titãs;212,644;2000
802;6.4;59; Legalmente Loira;212,474;2001
803;7.2;55; Os Croods;211,797;2013
804;6.3;48; Tomb Raider: A Origem;211,498;2018
805;7.0;73; O Poço;211,329;2019
806;7.6;73; Invasão Zumbi;211,326;2016
807;7.3;69; Foi Apenas um Sonho;211,199;2008
808;7.1;57; Cães de Guerra;211,035;2016
809;7.9;; Jessica Jones;210,276;2015–2019
810;7.5;77; Eu, Tonya;210,196;2017
811;6.7;55; Dose Dupla;209,994;2013
812;5.8;31; As Tartarugas Ninja;209,645;2014
813;7.3;35; Um Amor para Recordar;209,570;2002
814;6.8;54; Sete Homens e um Destino;209,496;2016
815;7.1;; Planeta Terror;209,439;2007
816;7.0;39; P.S. Eu te Amo;208,934;2007
817;6.5;62; As Crônicas de Nárnia: Príncipe Caspian;208,372;2008
818;6.6;45; Eurotrip: Passaporte para a Confusão;208,275;2004
819;5.7;33; Lara Croft: Tomb Raider;208,185;2001
820;5.7;32; G.I. Joe: A Origem de Cobra;208,022;2009
821;6.2;62; Austin Powers em o Homem do Membro de Ouro;208,007;2002
822;6.4;43; Corrida Mortal;207,739;2008
823;6.8;67; Bolt: Supercão;207,462;2008
824;6.8;62; Desventuras em Série;207,338;2004
825;8.2;80; O Segredo dos Seus Olhos;207,228;2009
826;6.3;44; Oz: Mágico e Poderoso;207,177;2013
827;6.5;60; Velozes & Furiosos: Hobbs & Shaw;207,056;2019
828;6.5;49; A Era do Gelo 4;206,740;2012
829;6.6;48; Projeto X: Uma Festa Fora de Controle;206,511;2012
830;5.2;28; Duro de Matar: Um Bom Dia para Morrer;206,399;2013
831;6.4;47; Do que as Mulheres Gostam;206,374;2000
832;7.6;86; Traffic: Ninguém Sai Limpo;206,268;2000
833;6.3;43; Miss Simpatia;206,251;2000
834;5.0;34; Fim dos Tempos;205,906;2008
835;7.7;67; Em Busca da Terra do Nunca;205,736;2004
836;7.4;83; O Farol;205,686;I 2019
837;9.9;;  Game of Thrones;205,367;2011–2019
838;6.1;23; João e Maria: Caçadores de Bruxas;205,238;2013
839;6.3;48; Ted 2;205,137;2015
840;6.3;43; American Pie: O Casamento;204,836;2003
841;7.0;70; Eu Te Amo, Cara;204,728;2009
842;7.2;68; Um Crime de Mestre;203,563;2007
843;6.3;42; Os Estagiários;203,091;2013
844;6.6;61; O Expresso Polar;202,800;2004
845;7.6;73; Operação Invasão;202,757;2011
846;5.6;47; Professora Sem Classe;202,243;2011
847;6.3;56; Carga Explosiva 2;201,849;2005
848;6.4;; Número 23;201,674;2007
849;6.3;58; Shrek Para Sempre;201,596;2010
850;7.3;78; Blue Jasmine;201,460;2013
851;6.6;83; Arraste-me para o Inferno;201,302;2009
852;6.7;55; Amor e Outras Drogas;201,156;2010
853;8.7;; Downton Abbey;200,969;2010–2015
854;5.6;54; Zohan: O Agente Bom de Corte;200,889;2008
855;9.4;; Planeta Terra;200,387;2006
856;7.0;85; O Espião Que Sabia Demais;200,384;2011
857;4.8;33; Depois da Terra;200,248;2013
858;7.4;70; A Nova Onda do Imperador;199,698;2000
859;6.5;61; Pets: A Vida Secreta dos Bichos;199,317;2016
860;6.7;36; Anjos da Noite: A Evolução;198,789;2006
861;7.8;72; Straight Outta Compton: A História do N.W.A.;198,543;2015
862;6.4;48; 17 Outra Vez;198,199;2009
863;6.8;65; Hanna;198,093;2011
864;6.1;35; Resident Evil 2: Apocalipse;197,775;2004
865;5.6;36; Assassin's Creed;197,672;2016
866;6.7;63; O Guia do Mochileiro das Galáxias;197,494;2005
867;7.4;75; O Destino de uma Nação;197,322;2017
868;7.2;67; Viagem a Darjeeling;197,298;2007
869;6.6;60; Machete;196,890;2010
870;7.5;91; A Favorita;196,308;2018
871;6.4;55; O Sequestro do Metrô 1 2 3;196,238;2009
872;7.1;75; Encantada;196,059;2007
873;6.8;69; Incontrolável;196,053;2010
874;7.3;52; 72 Horas;196,015;2010
875;5.6;29; Alien vs. Predador;195,810;2004
876;7.4;81; Namorados para Sempre;195,622;2010
877;7.2;62; A Vida Marinha com Steve Zissou;195,334;2004
878;6.5;46; A Janela Secreta;195,246;2004
879;8.1;77; Relatos Selvagens;194,847;2014
880;7.4;73; Erin Brockovich, uma Mulher de Talento;194,836;2000
881;6.7;56; Resgate;194,443;2020
882;7.0;64; Madrugada Muito Louca;194,409;2004
883;6.2;41; Resident Evil 3: A Extinção;194,131;2007
884;7.2;72; Shame;193,979;2011
885;6.3;46; Encontro Explosivo;193,927;2010
886;7.8;91; Adoráveis Mulheres;193,906;2019
887;6.0;42; Uma Noite no Museu 2;193,763;2009
888;6.2;40; Drácula: A História Nunca Contada;193,296;2014
889;6.8;43; Para Sempre;193,246;2012
890;8.7;; The Crown;192,944;2016– 
891;6.1;66; Festa da Salsicha;191,772;2016
892;6.2;48; Jogos Mortais 3;191,649;2006
893;8.1;; Mentes Criminosas;191,200;2005–2020
894;7.7;83; Adaptação;191,075;2002
895;8.5;; Big Little Lies;191,074;2017–2019
896;6.0;26; Busca Implacável 3;191,053;2014
897;6.7;63; Atômica;190,781;2017
898;6.0;;  Game of Thrones;190,461;2011–2019
899;7.3;64; Chocolate;190,363;2000
900;7.5;94; Sideways: Entre Umas e Outras;190,147;2004
901;7.4;48; O Juiz;189,839;2014
902;6.9;61; O Homem Duplicado;189,796;2013
903;8.3;; Como Estrelas na Terra;189,566;2007
904;7.1;88; A Fuga das Galinhas;189,512;2000
905;5.7;37; Fúria de Titãs 2;188,517;2012
906;6.1;44; Um Milhão de Maneiras de Pegar na Pistola;188,033;2014
907;6.2;57; De Repente 30;187,858;2004
908;7.1;75; Terapia de Risco;187,763;I 2013
909;7.0;58; Soldado Anônimo;187,748;2005
910;5.3;40; O Destino de Júpiter;187,741;2015
911;5.8;47; Percy Jackson e o Ladrão de Raios;187,518;2010
912;6.1;51; A Bússola de Ouro;187,313;2007
913;7.3;73; Lilo & Stitch;186,527;2002
914;6.3;29; Bright;186,475;I 2017
915;6.5;32; A Senha: Swordfish;186,282;2001
916;6.6;43; Controle Absoluto;186,215;2008
917;8.0;69; A Luta pela Esperança;186,190;2005
918;5.6;52; As Panteras;186,178;2000
919;8.6;; Boardwalk Empire: O Império do Contrabando;186,134;2010–2014
920;6.3;52; Um Espião e Meio;185,747;2016
921;7.9;; O Homem da Terra;185,730;2007
922;7.3;59; Doutor Sono;185,704;2019
923;6.3;31; Guerra é Guerra!;185,664;2012
924;7.3;84; O Primeiro Homem;185,490;2018
925;6.5;48; A Garota no Trem;185,282;2016
926;5.4;34; A Múmia;185,120;2017
927;7.7;74; O Último Rei da Escócia;185,080;2006
928;6.9;56; Coração de Cavaleiro;184,924;2001
929;8.8;; Ted Lasso;184,736;2020– 
930;8.3;; Dangal;184,528;2016
931;7.5;77; Grindhouse;184,015;2007
932;8.4;; 24 Horas;183,966;2001–2010
933;6.2;57; Carros 2;183,879;2011
934;6.4;77; Happy Feet: O Pingüim;183,688;2006
935;6.6;53; Operação Red Sparrow;183,502;2018
936;5.5;37; Baywatch: S.O.S. Malibu;183,382;2017
937;7.1;66; A Garota Dinamarquesa;183,261;2015
938;7.4;49; K-Pax: O Caminho da Luz;183,147;2001
939;7.1;75; Um Grande Garoto;182,985;2002
940;5.7;43; X-Men: Fênix Negra;182,499;2019
941;6.6;66; Ricky Bobby, a Toda Velocidade;182,415;2006
942;6.4;62; A Mulher de Preto;182,307;2012
943;7.5;67; Upgrade: Atualização;181,956;2018
944;6.4;60; Tomorrowland: Um Lugar Onde Nada é Impossível;181,517;2015
945;6.3;39; Eu Queria Ter a Sua Vida;181,391;2011
946;7.6;81; Batalha Real;181,377;2000
947;8.1;; O Mentalista;181,065;2008–2015
948;5.7;41; G.I. Joe: Retaliação;181,021;2013
949;8.1;; PK;181,003;2014
950;7.2;69; Efeito Dominó;180,830;2008
951;6.0;48; O Espanta Tubarões;180,759;2004
952;6.1;35; Os Mercenários 3;180,744;2014
953;7.1;80; Melancolia;180,669;2011
954;7.9;85; Herói;180,525;2002
955;8.1;; The End of the F***ing World;180,461;2017–2019
956;6.9;68; Aliança do Crime;180,174;2015
957;6.2;61; Karatê Kid;180,031;2010
958;6.3;61; Tudo Por um Furo;179,991;2013
959;5.7;37; Invasão do Mundo: Batalha de Los Angeles;179,699;2011
960;7.5;68; O Assassinato de Jesse James pelo Covarde Robert Ford;179,618;2007
961;7.6;76; O que Fazemos nas Sombras;179,614;2014
962;8.3;; Californication;179,416;2007–2014
963;5.8;48; Triplo X;179,350;2002
964;6.2;57; Mama;179,286;I 2013
965;6.4;51; Valerian e a Cidade dos Mil Planetas;178,999;2017
966;7.3;73; Nem Tudo é o Que Parece;178,994;2004
967;5.9;55; O Albergue;178,957;2005
968;7.4;79; Alta Fidelidade;178,815;2000
969;6.8;60; Madagascar 3: Os Procurados;178,721;2012
970;7.4;76; Amor Bandido;178,415;2012
971;5.2;32; Independence Day: O Ressurgimento;177,925;2016
972;6.0;48; Godzilla II: Rei dos Monstros;177,923;2019
973;6.3;65; O Pior Trabalho do Mundo;177,914;2010
974;7.6;68; A Última Noite;177,775;2002
975;7.4;71; [Rec];177,489;2007
976;6.4;48; Golpe Baixo;177,384;2005
977;7.5;65; Tucker e Dale Contra o Mal;177,262;2010
978;6.9;55; Lendas do Crime;177,225;I 2015
979;6.5;56; Pagando Bem, que Mal Tem?;177,162;2008
980;7.1;65; Feito na América;176,507;2017
981;5.8;38; Blade: Trinity;176,202;2004
982;6.8;85; A Árvore da Vida;176,092;2011
983;6.0;49; A Promessa;175,976;II 2016
984;6.1;36; Jogo de Amor em Las Vegas;175,674;2008
985;8.1;; Mary e Max: Uma Amizade Diferente;175,596;2009
986;6.2;44; A Lenda de Tarzan;175,591;2016
987;8.1;82; Memórias de um Assassino;175,544;2003
988;5.8;30; A Liga Extraordinária;175,389;2003
989;6.6;53; 30 Dias de Noite;175,322;2007
990;6.9;67; Cinderela;175,086;I 2015
991;6.3;45; Substitutos;174,672;2009
992;6.7;55; Zumbilândia: Atire Duas Vezes;174,358;2019
993;7.2;51; A Incrível História de Adaline;173,873;2015
994;6.2;42; Inferno;173,864;I 2016
995;8.5;; Pessoa de Interesse;173,758;2011–2016
996;8.3;80; Incêndios;173,308;2010
997;6.4;63; A Ressaca;173,244;2010
998;6.7;67; Os Sem-Floresta;173,161;2006
999;6.2;54; O Exterminador do Futuro: Destino Sombrio;173,153;2019
1,000;7.7;76; Os 7 de Chicago;172,629;2020
1,001;7.2;58; A Origem dos Guardiões;172,485;2012
1,002;7.1;86; O Mestre;172,214;2012
1,003;8.0;; Um Contratempo;172,039;2016
1,004;7.5;83; Milk: A Voz da Igualdade;172,024;I 2008
1,005;6.4;47; Ele Não Está Tão a Fim de Você;171,357;2009
1,006;10.0;;  Breaking Bad;171,022;2008–2013
1,007;6.6;60; As Bem-Armadas;170,962;I 2013
1,008;6.1;41; Esquadrão 6;170,940;2019
1,009;6.3;40; Quero Matar Meu Chefe 2;170,934;2014
1,010;7.4;; Gossip Girl: A Garota do Blog;170,709;2007–2012
1,011;5.8;37; Resident Evil 4: Recomeço;170,674;2010
1,012;7.3;69; Rocketman;170,455;I 2019
1,013;5.5;40; O Dia em que a Terra Parou;170,117;2008
1,014;6.6;47; RED 2: Aposentados e Ainda Mais Perigosos;170,077;2013
1,015;6.4;39; Need for Speed: O Filme;169,946;2014
1,016;6.7;57; O Lar das Crianças Peculiares;169,807;2016
1,017;6.4;52; Viagem Maldita;169,582;2006
1,018;6.5;57; A Morte do Demônio;169,357;2013
1,019;6.2;35; Hitman: Assassino 47;169,277;I 2007
1,020;5.6;39; Alexandre;169,215;2004
1,021;6.6;42; Um Olhar do Paraíso;168,494;2009
1,022;6.5;55; Caindo na Estrada;168,490;2000
1,023;6.5;40; Sobrenatural: Capítulo 2;168,426;2013
1,024;8.7;; Roma;168,337;2005–2007
1,025;6.9;74; Podres de Ricos;168,280;2018
1,026;5.6;46; Megatubarão;168,261;2018
1,027;7.2;64; Team America: Detonando o Mundo;168,196;2004
1,028;6.3;64; Escorregando para a Glória;168,081;2007
1,029;6.0;52; Êxodo: Deuses e Reis;167,848;2014
1,030;7.2;82; Steve Jobs;167,799;2015
1,031;7.4;71; A Grande Jogada;167,798;2017
1,032;6.0;46; Imortais;167,765;2011
1,033;6.3;59; A Lenda de Beowulf;167,545;2007
1,034;8.5;; Entourage: Fama & Amizade;167,291;2004–2011
1,035;6.3;46; Rei Arthur;167,158;2004
1,036;7.1;68; Horizonte Profundo: Desastre no Golfo;166,819;2016
1,037;6.8;64; Frozen II;166,443;2019
1,038;6.0;51; Carga Explosiva 3;166,384;2008
1,039;6.4;59; Mar em Fúria;166,300;2000
1,040;6.2;44; A Hora do Rush 3;165,967;2007
1,041;8.6;; Cobra Kai;165,731;2018– 
1,042;7.2;59; Invencível;165,601;I 2014
1,043;7.1;59; Três Vezes Amor;165,112;2008
1,044;4.3;27; Quarteto Fantástico;165,010;2015
1,045;6.4;49; Riddick 3;164,915;2013
