Rank;Imdb;Metascore;Filme;Votos;Ano
116;7.5;76; Jogos Vorazes: Em Chamas;654,125;2013
117;7.0;63; Guerra Mundial Z;652,037;2013
118;8.0;80; 007: Cassino Royale;647,862;2006
119;7.3;64; Homem-Formiga;646,981;2015
120;7.2;50; Truque de Mestre;646,356;I 2013
121;7.8;66; O Hobbit: A Desolação de Smaug;646,015;2013
122;6.9;66; O Espetacular Homem-Aranha;643,284;2012
123;7.4;76; Mulher-Maravilha;642,015;2017
124;7.1;50; Piratas do Caribe: No Fim do Mundo;640,054;2007
125;7.8;70; O Curioso Caso de Benjamin Button;638,641;2008
126;7.4;83; Homem-Aranha 2;637,443;2004
127;7.8;94; Dunkirk;637,123;2017
128;7.4;73; Homem-Aranha: De Volta ao Lar;634,071;2017
129;6.9;59; Jurassic World: O Mundo dos Dinossauros;630,081;2015
130;7.0;61; Transformers;629,316;2007
131;8.0;85; O Ultimato Bourne;629,174;2007
132;7.6;57; Sherlock Holmes;623,927;2009
133;7.8;78; Drive;622,339;I 2011
134;7.7;87; Birdman ou (A Inesperada Virtude da Ignorância);620,522;2014
135;7.9;79; As Aventuras de Pi;619,736;2012
136;7.4;63; Harry Potter e a Câmara Secreta;619,050;2002
137;7.9;82; Harry Potter e o Prisioneiro de Azkaban;618,258;2004
138;6.9;84; Star Wars: Os Últimos Jedi;616,815;2017
139;8.1;73; Na Natureza Selvagem;614,652;2007
140;7.4;75; Frozen: Uma Aventura Congelante;613,867;I 2013
141;7.8;65; Rogue One: Uma História Star Wars;612,559;2016
142;7.7;81; Harry Potter e o Cálice de Fogo;611,338;2005
143;7.4;68; De Volta ao Jogo;610,055;2014
144;7.7;86; Argo;607,923;2012
145;7.3;64; X-Men: O Filme;606,998;2000
146;6.9;62; Ted;604,723;2012
147;7.0;64; Prometheus;601,141;I 2012
148;7.9;82; Star Trek;599,487;2009
149;8.0;91; Ela;597,242;2013
150;7.9;82; Entre Facas e Segredos;596,366;2019
151;7.8;51; Busca Implacável;595,986;I 2008
152;7.2;62; Matrix Reloaded;586,956;2003
153;7.8;68; Os Oito Odiados;582,503;2015
154;7.8;73; Náufrago;579,389;2000
155;7.6;64; Psicopata Americano;578,389;2000
156;6.2;59; Homem-Aranha 3;577,312;2007
157;8.2;93; Sangue Negro;573,527;2007
158;7.4;84; Looper: Assassinos do Futuro;569,175;2012
159;8.0;94; La La Land: Cantando Estações;569,167;2016
160;7.5;71; Harry Potter e a Ordem da Fênix;567,678;2007
161;7.6;76; Superbad: É Hoje;566,638;2007
162;7.7;85; Corra!;566,182;I 2017
163;7.6;73; Zumbilândia;565,296;2009
164;8.4;77; Oldboy;565,192;2003
165;7.4;59; Sem Limites;564,175;I 2011
166;7.7;74; Onze Homens e um Segredo;561,524;2001
167;7.8;53; Diário de uma Paixão;561,053;2004
168;7.7;66; Deadpool 2;559,312;2018
169;8.2;78; 1917;557,449;2019
170;7.6;66; Kick-Ass: Quebrando Tudo;555,337;2010
171;9.0;; Vida de Escritório;552,775;2005–2013
172;8.9;; True Detective;551,215;2014–2019
173;7.9;76; Todo Mundo Quase Morto;548,919;2004
174;7.2;69; Anjos da Lei;548,857;2012
175;8.0;81; Blade Runner 2049;546,075;2017
176;7.6;56; Watchmen: O Filme;543,826;2009
177;7.4;68; X-Men 2;543,232;2003
178;7.7;80; Minority Report: A Nova Lei;542,793;2002
179;7.9;68; A Identidade Bourne;540,367;2002
180;8.0;64; Diamante de Sangue;539,736;2006
181;8.4;; Lost;539,446;2004–2010
182;6.8;64; Capitã Marvel;538,947;2019
183;7.6;72; Meu Malvado Favorito;535,628;2010
184;7.7;65; Harry Potter e as Relíquias da Morte - Parte 1;535,013;2010
185;7.1;59; Eu, Robô;532,258;2004
186;7.6;78; Harry Potter e o Enigma do Príncipe;531,601;2009
187;7.7;78; Ex_Machina: Instinto Artificial;531,545;2014
188;7.2;55; O Grande Gatsby;530,733;2013
189;7.8;76; O Abutre;528,560;2014
190;7.7;78; Zodíaco;527,772;2007
191;7.3;56; Tróia;525,719;2004
192;8.8;; Black Mirror;522,293;2011–2019
193;7.6;68; Planeta dos Macacos: A Origem;522,116;2011
194;7.9;49; Bohemian Rhapsody;521,481;2018
195;7.3;69; It: A Coisa;521,246;I 2017
196;8.3;; Prison Break;520,519;2005–2017
197;6.6;45; Piratas do Caribe: Navegando em Águas Misteriosas;518,831;2011
198;7.6;86; Em Ritmo de Fuga;517,109;2017
199;7.0;54; Oblivion;516,912;I 2013
200;7.4;59; O Hobbit: A Batalha dos Cinco Exércitos;516,775;2014
201;7.5;81; Juno;516,692;2007
202;7.5;74; Contra o Tempo;513,444;2011
203;8.5;; Vikings;513,076;2013–2020
204;7.4;68; Amor a Toda Prova;511,573;2011
205;6.6;58; X-Men: O Confronto Final;510,652;2006
206;7.5;82; Um Lugar Silencioso;510,589;2018
207;8.1;71; Até o Último Homem;506,861;2016
208;6.7;47; Matrix Revolutions;506,611;2003
209;7.7;76; (500) Dias com Ela;505,659;2009
210;8.0;67; As Vantagens de Ser Invisível;501,099;2012
211;8.8;; Peaky Blinders: Sangue, Apostas e Navalhas;501,020;2013–2022
212;8.0;64; À Procura da Felicidade;498,849;2006
213;7.8;81; Chumbo Grosso;498,252;2007
214;6.5;40; X-Men Origens: Wolverine;498,022;2009
215;8.4;87; Homem-Aranha no Aranhaverso;497,965;2018
216;8.7;; House of Cards;496,295;2013–2018
217;6.9;65; Círculo de Fogo;495,279;2013
218;7.5;68; Invocação do Mal;494,093;2013
219;7.9;84; Filhos da Esperança;494,007;2006
220;8.1;88; Três Anúncios para um Crime;493,228;2017
221;6.4;44; Se Beber, Não Case! Parte II;493,050;2011
222;6.6;53; O Espetacular Homem-Aranha 2: A Ameaça de Electro;487,132;2014
223;6.4;61; Lucy;486,686;I 2014
224;6.5;55; Sr. & Sra. Smith;486,622;2005
225;8.0;78; Zootopia;485,475;2016
226;7.4;73; Missão: Impossível - Protocolo Fantasma;483,760;2011
227;8.4;81; Viva: A Vida é uma Festa;482,870;I 2017
228;7.6;30; Efeito Borboleta;482,642;2004
229;9.2;; Rick e Morty;481,030;2013– 
230;6.6;61; O Incrível Hulk;480,604;2008
231;7.7;72; Além da Escuridão: Star Trek;480,549;2013
232;8.6;; Westworld;480,301;2016– 
